obj,super_obj
reggaeton,popular music
bluegrass music,country music
bluegrass music,traditional country
traditional country,country music
traditional country,American folk music
chillwave,popular music
Screen Actors Guild Award,film award
Billboard Music Award for Top Hot 100 Artist,award for artist
award for artist,class of award
Memphis,serif typeface
Memphis,geometric typeface
music executive,manufacturer
Independent Spirit Awards,film award
emo pop,emo
emo pop,alternative rock
flute,organ stop
organ stop,musical instrument part
MTV Europe Music Award for Best UK & Ireland Act,award for best performance
Afrobeat,music of West Africa
music of West Africa,music of Africa
Victoria,airlifter
airlifter,military aircraft
airlifter,transport aircraft
dancehall,reggae
dancehall,music of Jamaica
BET Award for Best New Artist,award for new artist
Ibiza,Illes Balears
Illes Balears,Vino de la Tierra
bounce music,Southern hip hop
Southern hip hop,American hip hop
bounce music,bass music
bass music,bass music
flute,landform
landform,geographical feature
landform,geographic location
landform,geomorphological unit
electro house,house music
Juno Award for Music DVD of the Year,award for best work
Brit Award for Outstanding Contribution to Music,BRIT Awards
novelist,writer
Critics' Choice Movie Award,film award
score,soundtrack
Victoria,drink
drink,food
drink,liquid
artist,artist
progressive house,house music
progressive house,progressive electronic dance music
progressive electronic dance music,electronic dance music
crunk,hip hop music
crunk,bass music
television presenter,actor
television presenter,celebrity
television presenter,presenter
television presenter,media professional
television presenter,television personality
television presenter,program host
program host,presenter
program host,media professional
flute,wind instrument
wind instrument,aerophone
flute,woodwind instrument
spokesperson,white-collar worker
white-collar worker,employee
spokesperson,representative
representative,position
representative,agent
MTV Europe Music Award for Best Female,award for best artist
MTV Europe Music Award for Best Electronic,award for best artist
baroque pop,pop music
baroque pop,orchestral pop
orchestral pop,pop music
orchestral pop,symphonic music
disco,rhythm and blues
disco,club/dance music
trombone,labrosones with slides
labrosones with slides,chromatic labrosones
labrosones with slides,continuous-pitch instrument
cello,necked box lutes played with a bow
Christian,person
Christian,religious adherent
religious adherent,affiliate
religious adherent,member
religious adherent,believer
Christian,theist
theist,person
theist,religious adherent
theist,believer
Christian,religious group
religious group,group of humans
club DJ,disc jockey
Cross of the Order of Merit of the Federal Republic of Germany,cross
cross,award
surfer,athlete
American Music Award for Favorite Country Album,award for best album (genre)
American Music Award for Favorite Country Female Artist,award for best artist
sampler,textile artwork
textile artwork,visual artwork
textile artwork,artificial physical object
textile artwork,textile work
surfing,water sport
water sport,sport
water sport,sports in nature
surfing,Olympic sport
surfing,boardsport
boardsport,sport
People's Choice Award for Favorite Female Artist,award for favorite (...)
Spellemann Award for female artist of the year,award for best artist
sampling,quantization
quantization,process
quantization,transformation
sampling,simplification
simplification,Q4601838
surf music,rock music
nightclub owner,businessperson
nightclub owner,proprietor
proprietor,legal person
comedian,actor
drum,barrel
barrel,physical container
acoustic music,music
sampler,electronic musical instrument
bouzouki,necked bowl lutes
necked bowl lutes,necked lute
Grammy Award for Best Country Album,award for best album (genre)
sampling,medical procedure
medical procedure,procedure
sampling,activity
sampling,sample collection
sample collection,process
Austria,sans-serif
drum machine,electronic musical instrument
Romy,television award
Romy,film award
Hamburg,chicken
Hamburg,Q1385549
Q1385549,poultry
character actor,actor
drum,struck membranophone
struck membranophone,percussion instrument
struck membranophone,membranophones
Bavarian,Upper German
Upper German,High German
Methodism,Protestantism
Protestantism,Western Christianity
architect,white-collar worker
architect,designer
sampling,statistical method
statistical method,method
statistical method,data analysis
sampling,choice
choice,intentional human activity
choice,process
Korean,Koreanic
Koreanic,Altaic
Koreanic,Asian languages
video game music,score
Japanese,inhabitant
Japanese,East Asians
East Asians,inhabitant
East Asians,Asian people
ballad,narrative song
narrative song,song
narrative song,narrative
Wakefield,motorcycle
motorcycle,two-wheeler
motorcycle,road vehicle
motorcycle,single-track vehicle
motorcycle,motorcycle based vehicle
motorcycle,intermediate vehicle
Lebanon,domesticated pigeon
domesticated pigeon,Rock Dove
domesticated pigeon,domesticated bird
Lebanon,fancy pigeon
fancy pigeon,domesticated pigeon
Lebanon,form pigeons
form pigeons,domesticated pigeon
form pigeons,fancy pigeon
ballad,poem
poem,poetry
poem,literary work
ballad,literary work
Grand Cordon of the National Order of the Cedar,Grand Cordon
Grand Cordon,grade of an order
garage punk,punk rock
garage punk,garage rock
melodic death metal,death metal
video game producer,producer
tarento,public entertainer
public entertainer,artist
public entertainer,performing artist
tarento,television personality
trap music,hip hop music
trap music,bass music
sound designer,designer
music of Lebanon,music of the Middle East
music of the Middle East,music of Asia
music of the Middle East,music of North Africa
autoharp,true board zithers with resonator box
Arkansas,table apple
Brighton,table apple
conscription in the Republic of Korea,conscription
conscription,military service
conscription,recruitment
classical guitar,acoustic guitar
dark ambient,ambient music
dark ambient,post-industrial music
breakdancer,athlete
breakdancer,dancer
Eurotrance,trance
Eurotrance,music of Europe
Arabic,Semitic
Semitic,Afroasiatic
Japanese,Japonic
Japonic,Altaic
Japonic,Asian languages
horrorcore,hip hop music
horrorcore,horror fiction
horror fiction,Horror
horror fiction,speculative/fantastic fiction
skateboarding,outdoor recreation product
outdoor recreation product,sports equipment
bass,fish
fish,marine life
fish,aquatic animal
tattoo,music festival
music festival,arts festival
music festival,music event
Genesis Award,television award
genderfluid,non-binary
non-binary,gender
non-binary,umbrella term
non-binary,gender minority
new rave,indie rock
new rave,alternative dance
bass,electronic dance music
bass,bass music
bass music,popular music
Telstar,apple
apple,fruit
Telstar,table apple
countertenor,male singing voice
operatic pop,pop music
operatic pop,classical crossover
classical crossover,popular music
experimental pop,pop music
experimental pop,experimental music
shoegaze,alternative rock
chef,cook
cook,artisan
chef,manager
chef,creator
rapcore,rap rock
melodic hardcore,hardcore punk
Telstar,home video game console
home video game console,video game console
Web Entertainment,audiovisual work
audiovisual work,intangible good
audiovisual work,creative work
audiovisual work,time-based visual work
audiovisual work,video and/or audio work
Web Entertainment,broadcasting program
Telstar,communications satellite
communications satellite,artificial satellite
bass,singer
bass,classical singer
music of Latin America,music of the Americas
music of the Americas,regional music
music of Latin America,Latin music
Rainbow,amusement ride
amusement ride,architectural structure
amusement ride,appliance
amusement ride,attraction
amusement ride,facility
tattoo,image
image,artificial object
image,two-dimensional object
tattoo,work of art
work of art,creative work
tattoo,body modification
body modification,intentional human activity
body modification,more
body modification,change
electro hop,hip hop music
electro hop,electronic dance music
bass,frequency
frequency,physical quantity
frequency,scalar quantity
frequency,reciprocal duration
skateboarding,Olympic sport
skateboarding,boardsport
skateboarding,roller sport
roller sport,sport
Motown,pop soul
pop soul,pop music
pop soul,soul music
bass,voice
bass,male singing voice
Canadian English,North American English
Olympia,engine
engine,machine
engine,propulsion
engine,power engine
Soyuz,reel-to-reel audio tape recorder
reel-to-reel audio tape recorder,tape recorder
reel-to-reel audio tape recorder,audio electronics
Soyuz,R-7
R-7,launch vehicle
Soyuz,expendable launch vehicle
expendable launch vehicle,launch vehicle
love metal,gothic metal
reggae fusion,reggae
YouTuber,video blogger
video blogger,blogger
video blogger,uploader
video blogger,web video producer
YouTuber,content creator
content creator,entertainer
content creator,creator
YouTuber,digital creator
YouTuber,poster
YouTuber,web video producer
web video producer,content creator
Soyuz,Soyuz
ska punk,punk rock
ska punk,third wave ska
third wave ska,ska
Soyuz,space capsule
space capsule,spacecraft
Soyuz,crewed spacecraft
crewed spacecraft,spacecraft
crewed spacecraft,manned vehicle
reggae rock,rock music
reggae rock,reggae fusion
Salvador,grape
grape,berry
grape,fruit
power pop,pop rock
Bono,Central Tano
Central Tano,Potou–Tano
gospel singer,singer
gospel singer,gospel musician
gospel musician,musician
soul musician,musician
lifetime achievement award,class of award
class of award,award
class of award,class
saxophonist,woodwind instrument player
woodwind instrument player,instrumentalist
woodwind instrument player,wind instrument player
folktronica,electronica
Tony Award for Best Actress in a Musical,theatre award
theatre award,award
theatre award,performing arts award
music arranger,musician
Fender Stratocaster,electric guitar
spirituals,African-American music
African-American music,music of the United States
African-American music,Black music
spirituals,American folk music
spirituals,Christian music
vocal arranger,music arranger
Lola,Lola
Lola,Aru
Burn,energy drink
energy drink,soft drink
energy drink,sports & energy drink
mandolin,necked bowl lutes sounded by plectrum
indietronica,independent music
indietronica,electronica
indietronica,alternative music
honorary doctor of Harvard University,honorary doctorate
emo rap,hip hop music
alternative,decision making
decision making,mental process
alto saxophone,saxophone
Albany,motor car
Pentecostalism,Charismatic Christianity
Charismatic Christianity,Protestantism
Charismatic Christianity,Evangelicalism
Brunswick,dress
dress,clothing
King,domesticated pigeon
King,fancy pigeon
King,utility pigeon
utility pigeon,domesticated pigeon
utility pigeon,fancy pigeon
utility pigeon,utility pigeon
Grammy Award for Best Inspirational Performance,award for best performance
Honolulu,cue sports
Cleveland,Orthodox Judaism
Orthodox Judaism,Rabbinic Judaism
Aru,Central Malayo-Polynesian
Macon,lamb dish
lamb dish,meat dish
priest,club
Hereford,cattle
Lucille,guitar
Lucille,electric guitar
alternative,means
means,cause
alternative,other
other,complement
alternative,option
option,hypothetical entity
priest,cleric
cleric,religious servant
trumpet,valve trumpets
valve trumpets,labrosones with valves
clarinet,transposing instrument
transposing instrument,musical instrument
clarinet,"single clarinets with cylindrical bore, with fingerholes"
"single clarinets with cylindrical bore, with fingerholes",single clarinets with cylindrical bore
machine,appliance
machine,converter
computing platform,technical system
computing platform,product
data terminal equipment,appliance
IT system,information system
information processor,information system
computer file location,location
Officer of the Legion of Honour,officer
canzone napoletana,traditional folk song
traditional folk song,song
traditional folk song,traditional folk music
traditional folk song,verbal folklore
canzone napoletana,Italian folk music
Italian folk music,music of Italy
Italian folk music,European folk music
trumpeter,brass player
brass player,wind instrument player
Golden Raspberry Award for Worst Director,award for worst (...)
drill and bass,intelligent dance music
intelligent dance music,electronic dance music
occultist,pseudoscientist
pseudoscientist,charlatan
pseudoscientist,occupation
pseudoscientist,believer
Officer of the National Order of Merit,officer
Commander of the National Order of Merit,commander
Golden Raspberry Award for Worst Screenplay,award for worst (...)
Knight Grand Cross of the Order of Merit of the Italian Republic,grand cross
grand cross,cross
jump blues,blues
Gold Medal of the Italian Order of Merit for Culture and Art,gold medal
gold medal,first place
gold medal,award medal
Golden Raspberry Award for Worst Musical Score,award for worst (...)
ARP Odyssey,synthesizer
Commander of the Order of the Crown,commander
Labyrinth,toy
toy,tangible good
toy,product
toy,recreative work
toy,recreational equipment
swing music,jazz
big band,orchestra
orchestra,instrumental ensemble
orchestra,music organization
big band,jazz band
jazz band,musical group
punk blues,rock music
punk blues,punk music
blues shouter,singer
blues shouter,vocalist
blues shouter,blues musician
blues musician,musician
gospel blues,blues
gospel blues,gospel music
acid techno,techno
acid techno,acid music
acid music,electronic music
Rome,apple
Rome,table apple
Rome,cooking apple
accordion,graphical widget
graphical widget,graphical user interface element
psychedelic pop,pop music
psychedelic pop,psychedelic music
Alton,table apple
acoustic bass guitar,acoustic guitar
acoustic bass guitar,bass guitar
trumpeter,domesticated pigeon
trumpeter,fancy pigeon
film score,film soundtrack
film soundtrack,soundtrack
film score,score
electronic musician,musician
Golden Raspberry Award for Worst Actor,award for worst (...)
Fender Telecaster,electric guitar
music sequencer,electronic musical instrument
music sequencer,music software
music software,application
music software,audio software
music sequencer,deliverable
deliverable,product
deliverable,artificial object
mime artist,actor
mime artist,performing artist
Minneapolis sound,funk rock
Minneapolis sound,synth funk
synth funk,funk
honorary citizen of Yerevan,honorary citizenship
honorary citizenship,award
honorary citizenship,title of honor
accordion,squeezebox
squeezebox,keyboard instrument
squeezebox,free reeds
squeezebox,sets of free reeds
bandleader,conductor
bandleader,musician
bandleader,music director
ambient techno,deep techno
deep techno,techno
atheism,irreligion
irreligion,doctrine
irreligion,social structure
irreligion,secularism
irreligion,nontheism
chess,sequential game
sequential game,game
sequential game,strategy game
chess,abstract strategy game
abstract strategy game,strategy game
abstract strategy game,abstract game
chess,mind sport
mind sport,sport
mind sport,type of sport
mind sport,intellectual competition
chess,individual sport
individual sport,sport
individual sport,type of sport
Armenian,Indo-European
Indo-European,human language
bebop,jazz
modal jazz,jazz
Mol,Gaina
Gaina,Bashkir tribe
Guggenheim Fellowship,academic award
academic award,award
tenor saxophone,saxophone
oboist,woodwind instrument player
hard bop,bebop
rockabilly,rock and roll
free jazz,avant-garde jazz
avant-garde jazz,jazz
avant-garde jazz,avant-garde music
zouk,French Caribbean music
French Caribbean music,music of the Caribbean
chamber pop,indie pop
Praemium Imperiale,art prize
bebop,dance
cool jazz,jazz
Mol,Torricelli
Torricelli,Papuan languages
MTV Europe Music Award for Best Romanian Act,award for best performance
Juno Award for Adult Alternative Album of the Year,award for best album (genre)
baritone saxophone,saxophone
Southern rock,rock music
Sheets of sound,arpeggio
arpeggio,ornament
Sheets of sound,jazz improvisation
jazz improvisation,musical improvisation
Americana Award for Artist of the Year,award for best artist
Order of Canada,"Orders, decorations and medals of Canada"
"Orders, decorations and medals of Canada",award
Turkish,Western Oghuz
Western Oghuz,Oghuz
David di Donatello,film award
Modern Greek,Greek
Greek,Hellenic
Greek,Southern European language
Modern Greek,Hellenic
Hellenic,Indo-European
Modern Greek,Southern European language
Romanian,Eastern Romance
Eastern Romance,Romance languages
oboe,oboe family instrument
oboe family instrument,double reed instrument
oboe family instrument,single oboes with conical bore
Swedish,East Scandinavian
East Scandinavian,North Germanic
Serbian,Eastern Herzegovinian
Eastern Herzegovinian,Shtokavian
Diamond Head,sailboat
Diamond Head,windsurf
Baku,Indonesians
Indonesians,inhabitant
Indonesians,Asian people
Indonesians,Southeast Asians
athletics,sport
athletics,physical activity
keytar,synthesizer
keytar,electronic keyboard
keytar,"digital instruments, modules and components"
"digital instruments, modules and components",electrophone
athletics competitor,athlete
Azerbaijan,national dance
national dance,dance
national dance,national symbol
music artist,artist
Catalan,goat
goat,productive animal
goat,domesticated mammal
Jaffa,fictional humanoid
fictional humanoid,fictional creature
fictional humanoid,fictional organism
Latin rock,rock music
Latin rock,Latin music
tattoo artist,visual artist
tattoo artist,body artist
body artist,visual artist
Tony Awards,theatre award
Sanremo Music Festival,award
Sanremo Music Festival,music competition
music competition,competitive examination
music competition,art competition
Sanremo Music Festival,Eurovision Song Contest selection event
Eurovision Song Contest selection event,annual music competition
Eurovision Song Contest selection event,music competition qualification
speed metal,heavy metal
speed metal,extreme metal
MTV Video Music Award,music award
Arnhem,Australian Aboriginal languages
Australian Aboriginal languages,human language
Tomorrowland,themed area
themed area,fixed construction
Billboard Latin Music Awards,music award
arena rock,rock music
Latin Grammy Award for Record of the Year,music award
Vertigo,electro dance
electro dance,dance
uploader,user
uploader,agent
Merited Artist of the Russian Federation,award
Merited Artist of the Russian Federation,Merited Artist
Merited Artist,award
Alexandria,serif typeface
thrash metal,extreme metal
Andean music,music of South America
music of South America,music of the Americas
Andean music,indigenous music
indigenous music,ethnic music
Andean music,Hispanic American music
Hispanic American music,music of Latin America
Hispanic American music,Hispanic music
Tomorrowland,Tomorrowland
Colombia,cocktail
Fairfield,serif typeface
Jaffa,soft drink
soft drink,non-alcoholic beverage
soft drink,sugary drink
Latin Grammy Award for Best Contemporary Pop Vocal Album,award for best album (genre)
dubstep,bass music (EDM)
bass music (EDM),electronic dance music
bass music (EDM),bass music
athletics,Olympic sport
athletics,athletics
Catalan,Occitano-Romance
Occitano-Romance,Gallo-Romance
Georgian,Karto-Zan
Karto-Zan,Kartvelian
Hebrew,Jewish languages
Jewish languages,human language
Hebrew,Canaanite
Canaanite,Northwest Semitic
glitch,glitch art
glitch art,art
glitch,experimental electronic music
experimental electronic music,electronic music
experimental electronic music,experimental music
Member of the Order of the British Empire,Member
Member,grade of an order
pub rock,rock music
drone metal,metal
pub rock,rock and roll
Rochdale,motor car
noise rock,rock music
witch house,electronic music
ethereal wave,gothic rock
ethereal wave,dark wave
Gibson Les Paul,electric guitar
music of the Caribbean,music of the Americas
progressive pop,pop music
son cubano,music of Cuba
music of Cuba,music of Latin America
music of Cuba,music of the Greater Antilles
son cubano,tropical music
tropical music,music of Latin America
tropical music,music of the Caribbean
tropical music,Latin music
son cubano,son
son,folk music
son,Latin music
Angie,mango
folk metal,metal
glitch,fault
fault,error
fault,state
fault,technology risk
fault,breakdown
psychedelic trance,trance
Anglicanism,Protestantism
college rock,alternative rock
Premios Ondas,prize
prize,award
Latin jazz,jazz
Latin jazz,Latin music
Grammy Award for Best Metal Performance,award for best performance
outlaw country,progressive country
progressive country,country music
cartoonist,graphic artist
graphic artist,visual artist
cartoonist,drawer
math rock,rock music
deathcore,hardcore (electronic dance music)
hardcore (electronic dance music),electronic dance music
human trafficking,crime
crime,violation of law
human trafficking,trade
trade,economic activity
human trafficking,offense against personal freedom
offense against personal freedom,violation of law
salsa,Latin dance
Boston,cocktail
salsa,dance music
salsa,tropical music
electronicore,metalcore
electronicore,post-hardcore
post-hardcore,punk rock
post-hardcore,hardcore punk
post-hardcore,post-rock
groove metal,extreme metal
salsa,hot sauce
hot sauce,chili sauce
Carcass,bomb
bomb,ammunition
bomb,explosive weapon
Carcass,shell
shell,ammunition
alternative country,country music
alternative country,alternative music
deathcore,metalcore
Carmel,infantry fighting vehicle
infantry fighting vehicle,armored fighting vehicle
stoner rock,hard rock
stoner rock,psychedelic music
sludge metal,extreme metal
Christian metal,heavy metal
Christian metal,Christian rock
Soubrette,soprano
Boston,ballroom dance
stoner metal,metal
Nico,protein-coding gene
protein-coding gene,gene
yodeler,singer
opera singer,singer
opera singer,classical singer
opera singer,classical musician
classical musician,musician
Grammy Award for Best Musical Theater Album,award for best album
Liberty,table apple
Gladstone,apple
Gladstone,table apple
Gladstone,apple cultivar
apple cultivar,cultivar
contemporary classical music,classical music
manager,manager
manager,professional wrestler
professional wrestler,entertainer
professional wrestler,wrestler
Danish,viennoiserie
viennoiserie,sweet bread
viennoiserie,bakers' confection
fencing,athletics product
athletics product,sports equipment
fencer,athlete
aircraft pilot,aircrew member
aircrew member,crew member
aircrew member,rider
aircraft pilot,vehicle operator
vehicle operator,rider
classical guitarist,guitarist
classical guitarist,classical musician
pop singer,singer
pop singer,pop musician
pop musician,musician
heavy metal singer,metal musician
metal musician,rock musician
heavy metal singer,rock singer
rock singer,singer
rock singer,rock musician
fencing,Olympic sport
fencing,combat sport
combat sport,strength sport
combat sport,contact sport
Danish,East Scandinavian
vocal trance,trance
Hammond organ,electronic organ
electronic organ,keyboard instrument
electronic organ,electromechanical instruments
electronic organ,non-piped organ
uplifting trance,trance
vocal jazz,jazz
vocal jazz,vocal music
vocal music,oral communication
vocal music,music
castanets,concussion vessels
concussion vessels,concussion idiophone
Wall of Sound,overproduction
overproduction,music production
triangle,individual percussion sticks
individual percussion sticks,percussion sticks
hardstyle,hard dance
hard dance,electronic dance music
Newton,personal digital assistant
personal digital assistant,tablet computer
personal digital assistant,mobile device
Christian alternative rock,alternative rock
Christian alternative rock,Christian rock
harpsichordist,keyboardist
friction drum,membranophones
Kalamata,olive
olive,fruit
Latin Grammy Award for Best Alternative Music Album,award for best album (genre)
Rhodes piano,electric piano
electric piano,electromechanical instruments
Rhodes piano,electro-acoustic idiophones
electro-acoustic idiophones,idiophone
electro-acoustic idiophones,electro-acoustic instruments
deep house,house music
triangle,polygon
polygon,plane figure
polygon,simple polytope
polygon,simplicial polytope
polygon,closed polygonal chain
triangle,simplex
simplex,regular polytope
simplex,simple polytope
simplex,simplicial polytope
triangle,bicentric polygon
bicentric polygon,cyclic polygon
bicentric polygon,tangential polygon
triangle,tritope
tritope,polytope
triangle,planar generalized triangle
planar generalized triangle,plane figure
planar generalized triangle,generalized triangle
swimming,swimming
swimming,physical activity
swimming,aquatic locomotion
swimming,water sport
swimming,Olympic sport
lawyer,jurist
jurist,professional
aquatic locomotion,locomotion
aquatic locomotion,swimming (passive or active)
bagpipes,double reed instrument
double reed instrument,reed aerophone
bagpipes,single oboes with conical bore
single oboes with conical bore,single reedpipes with double (or quadruple) reeds
bagpipes,sets of reedpipes with single reeds
sets of reedpipes with single reeds,single-reed instrument
Latin freestyle,freestyle music
freestyle music,dance-pop
freestyle music,electronic dance music
freestyle music,electronic pop
Latin freestyle,Latin music
crossover,phenomenon
phenomenon,observable entity
crossover,operation point
operation point,railway facility
Enigma,rotor machine
rotor machine,cipher machine
MTV Europe Music Award for Best Look,award for best (...)
award for best (...),class of award
Billboard Music Award for Rising Star,award for rising star
award for rising star,film award category
future house,house music
music historian,historian
historian,humanities scholar
music historian,musicologist
honorary doctor of the University of Edinburgh,honorary doctorate
progressive trance,trance
progressive trance,progressive electronic dance music
landscape architect,architect
landscape architect,designer
landscape architect,"architects, planners, surveyors and designers"
"architects, planners, surveyors and designers",science and engineering professionals
easycore,metalcore
easycore,pop punk
fashion model,model
crossover,composed musical work
honorary doctorate of the University of Glasgow,honorary doctorate
Grammy Award for Best Rap Performance,award for best performance
honorary doctor of the University of Bath,honorary doctorate
MTV Europe Music Award for Best Baltic Act,award for best performance
Breda,chicken
crossover,sport utility vehicle
sport utility vehicle,motor car
crime film,film
film,audiovisual work
film,visual artwork
film,moving image
film,series
crime film,crime fiction
crime fiction,fiction
drama,narrative
narrative,information
narrative,creative work
Czech,West Slavic
West Slavic,Slavic
Czech,Czech–Slovak languages
Estonian,Finnic
Finnic,Finno-Samic
Estonian,Uralic
Uralic,human language
Knight of the National Order of Merit,knight
impressionist music,modern classical music
modern classical music,classical music
Yokohama,short drink
sculptor,artisan
artisan,creator
artisan,tradesperson
sculptor,visual artist
sculptor,plastic artist
plastic artist,visual artist
art music,entertainment
entertainment,activity
art music,music
breakbeat hardcore,hardcore (electronic dance music)
breakbeat hardcore,breakbeat
Volta,graphics processing unit
graphics processing unit,coprocessor
graphics processing unit,vector processor
clavichord,keyboard instrument
clavichord,true board zithers with resonator box
free reeds,reed instrument
free reeds,idiophonic interruptive aerophones
worldbeat,world music
worldbeat,popular music
virtuoso,instrumentalist
virtuoso,music interpreter
music interpreter,musician
music interpreter,performing artist
trova,music of Cuba
pipe organ,organ
pipe organ,wind instrument with keyboard
wind instrument with keyboard,keyboard instrument
wind instrument with keyboard,wind instrument
pipe organ,sets of open flutes with internal duct without fingerholes
sets of open flutes with internal duct without fingerholes,open flutes with internal duct
pipe organ,sets of oboes with conical bore
sets of oboes with conical bore,sets of oboes
minimalist music,postmodern music
postmodern music,classical music
postmodern music,postmodern art
Prix de Rome,test
test,work
Madrid medal,award medal
award medal,medallion
award medal,award
rave,party
party,event
rave,event
event,occurrence
Lutheranism,Protestantism
Breton,Southwestern Brythonic
Southwestern Brythonic,Brythonic
Finnish,Finnic
Icelandic,North Germanic
North Germanic,Germanic
North Germanic,Northwest Germanic
Icelandic,West Scandinavian
West Scandinavian,North Germanic
plucked string instrument,lamellophone
plucked string instrument,string instrument
composite chordophone,chordophone
religious music,functional music
dark folk,neofolk
choir director,conductor
choir director,musician
Squares,potato chip
potato chip,food
potato chip,snack
potato chip,food preserve
potato chip,chip
Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany,grand cross
Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany,Grand Commander
Grand Commander,commander
Grand Commander,comendador
Grand Commander,grade of an order
Hungarian,domesticated pigeon
Hungarian,fancy pigeon
Hungarian,utility pigeon
CBS,protein-coding gene
honorary citizen of Munich,honorary citizenship
fortepiano,piano
piano sonata,sonata
sonata,classical music
sonata,composed musical work
sonata,instrumental music
piano sonata,piano piece
piano piece,piano music
music theorist,musicologist
music theorist,theorist
theorist,scientist
university teacher,teacher
teacher,educator
university teacher,faculty member
faculty member,position
faculty member,cadre
piano concerto,piano music
piano music,keyboard music
piano concerto,keyboard concerto
keyboard concerto,concerto
keyboard concerto,keyboard music
chamber music,classical music
chamber music,composed musical work
Commander of the Military Order of Saint James of the Sword,commander
CBS,gene
gene,nucleic acid sequence
gene,biological sequence
gene,biological region
Mali,graphics processing unit
Mali,semiconductor intellectual property core
semiconductor intellectual property core,product
semiconductor intellectual property core,integrated circuit layout
semiconductor intellectual property core,module
melodic black metal,black metal
symphonic music,classical music
symphonic music,instrumental music
Grammy Award for Best Classical Album,award for best album (genre)
Grammy Award for Best Contemporary World Music Album,award for best album (genre)
illustrator,drawer
string quintet,quintet
quintet,musical ensemble
quintet,quintet
string quintet,instrumental ensemble
instrumental ensemble,musical ensemble
atmospheric black metal,black metal
Mali,East New Britain
East New Britain,Papuan languages
honorary doctor of the University of Munich,honorary doctorate
concertmaster,musician
concertmaster,principal
principal,musician
principal,leader
concertmaster,classical musician
nonbeliever,person
organist,musician
organist,keyboardist
harpsichord,keyboard instrument
harpsichord,plucked string instrument
harpsichord,Q1740992
Q1740992,keyboard instrument
Q1740992,string instrument
harpsichord,true board zithers with resonator box
Order of the Golden Spur,order of chivalry
order of chivalry,confraternity
order of chivalry,sodality
order of chivalry,state order
string quintet,chamber music
quintet,composed musical work
quintet,instrumentation
Basque,Vasconic
Vasconic,human language
Basque,Southern European language
Hungarian,Ugric
Ugric,Uralic
Ugric,Finno-Ugric
concerto,composed musical work
Buffalo,Mine-Resistant Ambush Protected vehicle
Mine-Resistant Ambush Protected vehicle,armored fighting vehicle
Mine-Resistant Ambush Protected vehicle,wheeled armored personnel carrier
Reading,English Language Curriculum for Basic 7
English Language Curriculum for Basic 7,English Language Common Core programme Curriculum
English Language Curriculum for Basic 7,0021 Literacy and numeracy
Grammy Award for Best Comedy Album,award for best album
psychobilly,punk rock
psychobilly,rockabilly
comedy rock,rock music
comedy rock,comedy music
comedy music,humor
comedy music,music
spoken word,poetry
spoken word,performing arts
Grand Officer of the National Order of Quebec,grand officer
grand officer,grade of an order
Grand Officer of the National Order of Quebec,neck order
neck order,order insignia
neck order,grade of an order
comedy film,film
comedy film,comedy
comedy,work of art
Ajax,armored fighting vehicle
armored fighting vehicle,combat vehicle
armored fighting vehicle,armored vehicle
grindcore,hardcore punk
grindcore,extreme metal
sunglasses,glasses
glasses,costume accessory
glasses,corrective lens
sunglasses,costume accessory
costume accessory,clothing
costume accessory,accessory
sunglasses,protective eyewear
protective eyewear,eyewear
protective eyewear,work safety protective gear
grindie,indie rock
grindie,grime
Governor General's Literary Awards,Governor General's Awards
Vernon,Vimy
Vimy,bomber
Vimy,land-based aircraft
Vernon,airlifter
Vernon,land-based aircraft
land-based aircraft,aircraft
Holiday,table apple
Realism,Realpolitik
Realpolitik,pragmatism
electric bass guitar,bass guitar
electric bass guitar,electric guitar
Mariposa Folk Festival,recurring event
York,apple
skate punk,punk rock
I,proposed aircraft
proposed aircraft,aircraft
proposed aircraft,proposed entity
I,land-based attack fighter
land-based attack fighter,land-based fighter
land-based attack fighter,land-based attack aircraft
land-based attack fighter,attack fighter
sound,longitudinal wave
sound,acoustic wave
Knight Commander of the Order of the British Empire,commander
Knight Commander of the Order of the British Empire,knight
Praetorius music award,music award
Indian classical music,art music
Indian classical music,music of South Asia
music of South Asia,music of Asia
Meridian,communications satellite
jumpsuit,clothing
clothing,work
clothing,product
clothing,artificial physical object
clothing,flat object
jumpsuit,one-piece suit
one-piece suit,clothing
KISS,pseudorandom number generator
pseudorandom number generator,algorithm
pseudorandom number generator,computer program
pseudorandom number generator,deterministic algorithm
pseudorandom number generator,random number generator
Western swing,country music
Hindustani classical music,Indian classical music
Tank,protein-coding gene
geek rock,alternative rock
geek rock,nerd music
nerd music,popular music
power electronics,industrial music
power electronics,noise music
soldier,xiangqi piece
xiangqi piece,game piece
Oasis,drink
death industrial,industrial music
death industrial,power electronics
Meridian,table apple
soldier,warrior
warrior,combatant
soldier,cast
cast,biological function
soldier,military personnel
military personnel,employee
military personnel,warrior
military personnel,military affairs
Erie,Iroquoian
Iroquoian,Indigenous languages of the Americas
power electronics,electronics
electronics,engineering
electronics,applied physics
electronics,technique
music,humanities
humanities,social sciences and humanities
soldier,janggi piece
janggi piece,game piece
desert blues,blues
desert blues,Tuareg music
Tuareg music,Berber music
politician,professional
professional,worker
karateka,martial artist
martial artist,combatant
martial artist,athlete
breakcore,hardcore (electronic dance music)
