obj,super_obj
prisoner of war,human
prisoner of war,casualty
casualty,human
casualty,effects of war
prisoner of war,prisoner
prisoner,inhabitant
prisoner,legal status
prisoner of war,legal status
legal status,social status
legal status,role
aircraft pilot,navigator
navigator,crew member
navigator,vehicle operator
aircraft pilot,vehicle operator
vehicle operator,rider
Satellite Award for Best Film,award for best film
award for best film,film award category
Twister,ice cream
ice cream,frozen dessert
ice cream,creamy dessert
ice cream,soft cow dairy product
Brighton,table apple
compilation film,film
Honolulu,cue sports
relationship termination,dissolution
dissolution,process
slavery in the United States,slavery
slavery,social relation
slavery in the United States,African slave trade
African slave trade,slave trade
Shirley Temple,drink
Shirley Temple,mixed drink
mixed drink,drink
idealism,personality trait
personality trait,quality
idealism,philosophical theory
philosophical theory,theory
philosophical theory,doctrine
recreative work,creative work
comedy of remarriage,comedy film
comedy of remarriage,romantic comedy
comedy of remarriage,romance film
journalism,specialty
journalism,activity
domestic violence,violence
domestic violence,risk source
Laura,Sumba–Hawu
Sumba–Hawu,Sumba–Flores
Laura,Wejewa
Wejewa,Sumba–Hawu
end of career,dissolution
failure,occurrence
failure,result
result,observable entity
failure,voting result
voting result,result
distinction,social phenomenon
Galway,sheep
movie star,celebrity
celebrity,person
movie star,star
star,celebrity
reconstruction,conservation
conservation,field of work
conservation,preservation
conservation,activity
conservation,repair
conservation,planned process
reconstruction,construction
construction,economic activity
reconstruction,key event
key event,occurrence
film industry,entertainment industry
entertainment industry,leisure industry
entertainment industry,media industry
delusion,thought disorder
thought disorder,mental disorder
thought disorder,psychopathological symptom
hoax,deception
reconstruction,occurrence
profiteering,action
action,occurrence
cinema of the United States,cinematography
cinematography,art
foreigner,human
aging,food processing
food processing,material process
distinction,recognition
recognition,identification
distinction,philosophical concept
distinction,stylistic device
stylistic device,rhetorical device
distinction,literary technique
literary technique,artistic technique
submarine film,war film
detective film,detective fiction
detective film,crime film
detective film,mystery film
Raymond Massey,cocktail
Grand Prix,home video game console
Giant,giant in a work of fiction
giant in a work of fiction,fictional humanoid
giant in a work of fiction,supernatural being in a work of fiction
Giant,Minecraft mob
Minecraft mob,mob
Minecraft mob,game characters in Minecraft
Minecraft mob,fictional creature with no gender
Giant,Zombie
Zombie,zombie in a work of fiction
Grand Prix,award
Yokohama,short drink
Grand Prix,Carom billiards tournament
Carom billiards tournament,tournament
jury trial,judgment
judgment,court decision
Manhattan,cocktail
Grand Prix,tournament
tournament,sports competition
Grand Prix,snooker tournament
snooker tournament,tournament
snooker tournament,sports competition
Grand Prix,racing
racing,sport
Spike,anti-tank missile
anti-tank missile,anti-tank weapon
anti-tank missile,anti-surface missile
Spike,prickle
prickle,epidermis
responsibility,property
property,entity
courage,feeling
feeling,perception
military law,law
law,rule
egoism,ethical theory
ethical theory,philosophical theory
scapegoating,psychological projection
psychological projection,defence mechanism
scapegoating,activity
military discipline,discipline
discipline,control
discipline,mental skill
death anxiety,anxiety disorder
death anxiety,attitude to death
attitude to death,death and culture
Vertigo,electro dance
electro dance,dance
mistaken identity,actual innocence defence
actual innocence defence,criminal defence
immorality,moral quality
unfairness,absence
mistaken identity,error
rivalry,interaction
interaction,action
rivalry,competition
competition,interaction
competition,event
rivalry,social relation
cultural identity,identity
assassin,thief
thief,character class
assassin,assassin
assassin,rogue
rogue,thief
rogue,character class in Dungeons & Dragons
assassin,murderer
grandiose delusions,delusion
grandiose delusions,delusional disorder
delusional disorder,psychosis
delusional disorder,particular disease
grandiose delusions,superiority complex
superiority complex,grandiosity
Jupiter,super heavy-lift launch vehicle
super heavy-lift launch vehicle,launch vehicle
Jupiter,fire engine
fire engine,emergency vehicle
fire engine,road vehicle
Jupiter,unmanned ground vehicle
unmanned ground vehicle,land vehicle
unmanned ground vehicle,unmanned vehicle
Jupiter,Rescue robot
Rescue robot,robot
Jupiter,tracked vehicle
tracked vehicle,motor vehicle
tracked vehicle,land vehicle
education,education
education,economic activity
education,knowledge
knowledge,memory
dialect of the English language,English
English,Anglic
dialect of the English language,dialect
dialect,idiom
dialect,language variety
dialect,lect
sociolinguistics,linguistics
linguistics,social science
linguistics,humanities
social mobility,social process
social process,phenomenon
social process,process
Kansas City Film Critics Circle Award for Best Director,award for best direction
Jupiter,table apple
epic film,film
epic film,epic
epic,creative work
space adventure film,adventure film
space adventure film,space opera
space adventure film,science fiction film
The Great Race,rowing regatta
rowing regatta,regatta
human evolution,evolution
evolution,biological process
evolution,pattern in nature
evolution,evolution
human evolution,paleoanthropology
paleoanthropology,paleontology
paleoanthropology,anthropology
nanny,domestic worker
domestic worker,domestic worker
domestic worker,blue-collar worker
domestic worker,companions and valets
motor vehicle,vehicle
road vehicle,land vehicle
multi-track vehicle,vehicle
phonetics,linguistics
phonetics,phonetics and speech science
phonetics and speech science,science
Jupiter,radial engine
radial engine,multi-cylinder engine
Jupiter,overhead valve
overhead valve,four-stroke engine
education,knowledge sharing
knowledge sharing,sharing
knowledge sharing,information exchange
education,service
service,product
service,goods and services
masculinity,gender
upper class,social group
social group,system
social group,group of humans
Europe,yal
Europe,centerboarder
centerboarder,monohull
space exploration,exploration
exploration,travel
space exploration,space research
space research,research
joie de vivre,pattern of behavior
pattern of behavior,pattern
pattern of behavior,human behavior
pattern of behavior,action
rehabilitation,activity
rehabilitation,social and professional integration
social and professional integration,economic activity
rehabilitation,medical procedure
medical procedure,scientific method
medical procedure,process
medical procedure,procedure
American pioneer,settler
settler,colonization
settler,explorer
zombie fiction,monster fiction
anonymity,human
anonymity,secrecy
secrecy,concealment
anonymity,relative quality
relative quality,quality
rehabilitation,acquittal
acquittal,court decision
society of the United States,society
society,group of humans
age disparity in sexual relationships,social phenomenon
intergenerationality,interpersonal relationship
intergenerationality,family relation
family relation,interpersonal relationship
community building,social process
splatter film,horror film
frontier justice,crime
frontier justice,extrajudicial punishment
extrajudicial punishment,punishment
suicidal ideation,thinking
thinking,mental process
Golden Globe Award,television award
Golden Globe Award,film award
medical drama,drama television series
drama television series,television series
drama television series,television drama
medical drama,medical fiction
medical fiction,fiction
medical fiction,medicine in literature
historical television series,historical fiction
historical television series,television series
period film,historical film
period film,period piece
historical drama film,drama film
historical drama film,historical drama
historical drama film,historical film
Alien,monster
monster,imaginary character
Alien,fictional extraterrestrial
fictional extraterrestrial,fictional character
social exclusion,omission
omission,absence
messianism,belief system
religious satire,satire
satire,humour
Acheron,Talodi
Talodi,Kordofanian
Nazism,fascism
fascism,nationalism
fascism,totalitarianism
fascism,populism
communication,communication
global catastrophic risk,extreme risk
extreme risk,risk
global catastrophic risk,danger
danger,condition
danger,situation
global catastrophic risk,global risk
global risk,risk
global catastrophic risk,disaster risk
disaster risk,external risk
global catastrophic risk,future event
future event,hypothetical event
homesickness,adjustment disorder
adjustment disorder,mental disorder
adjustment disorder,particular disease
homeland,physical location
physical location,spatial entity
physical location,location
submarine warfare,war
submarine warfare,naval warfare
naval warfare,conflict
naval warfare,warfare
empathy,social skill
social skill,skill
social skill,competence
family,relation
relation,abstract object
David di Donatello for Best Foreign Director,award for best professional (...)
award for best professional (...),award
failed state,state
search and rescue,rescue
rescue,activity
family,institution
institution,social structure
institution,person or organization
family,group of humans
family,agent
agent,subject
information exchange,interaction
archaeology,study of history
study of history,humanities
study of history,"history, heritage and archaeology"
television,broadcasting
broadcasting,mass media
broadcasting,radio communication service
broadcasting,programming and broadcasting activities
broadcasting,dissemination
family,social group
family,kindred
kindred,group of humans
dance film,film
Independent Spirit Awards,film award
John Daly,cocktail
military aviation,aviation
internal conflict,conflict
internal conflict,armed conflict
mortality,finiteness
finiteness,quality
finiteness,philosophical concept
recognition,perception
perception,mental process
perception,interpretation
European Film Award for Best Production Designer,award for best production design
mortality,death
recognition,parliamentary procedure
parliamentary procedure,set
immortality,aptitude
aptitude,quality
comradeship,friendship
identification,association
identification,connection
Berlin,radar
radar,radio receiver
radar,transmitter
adultery,sexual intercourse
sexual intercourse,human sexual behavior
sexual intercourse,reciprocating motion
sexual intercourse,copulation
adultery,extramarital sex
extramarital sex,sexual intercourse
adultery,infidelity
infidelity,transgression
infidelity,human behavior
Delaware,Eastern Algonquian
Eastern Algonquian,Algonquian
social conflict,conflict
recognition,legal act
recognition,procedure
procedure,technique
immortality,immortality
immortality,superhuman quality
Kensington,editor
editor,writer
editor,media profession
Kensington,publisher
publisher,media company
publisher,business
publisher,publisher
recognition,social status
recognition,thanking
thanking,occurrence
thanking,acknowledgement
recognition,acknowledgement
acknowledgement,statement
racism,prejudice
prejudice,bias
racism,social inequality
social inequality,disparity
survival,activity
survival,situation
situation,condition
food security,supply chain security
supply chain security,security
food security,security
security,condition
security,action
food security,human development
human development,social change
community,social group
community,Administrative subdivision of Wales
Administrative subdivision of Wales,administrative territorial entity of the United Kingdom
community,political territorial entity
political territorial entity,administrative territorial entity
community,community
community,administrative territorial entity
community,human settlement
ball culture,LGBT culture
LGBT culture,culture
societal collapse,social phenomenon
societal collapse,failure
societal collapse,Social disintegration
Social disintegration,social issue
societal collapse,social disruption
social disruption,social issue
social disruption,disruption
societal collapse,social crisis
social crisis,society
social crisis,decadence
social crisis,disruption
administrative territorial entity,human-geographic territorial entity
human settlement,geographic region
human settlement,community
human settlement,geographical feature
human settlement,artificial geographic entity
decadence,change
change,occurrence
decadence,degradation
degradation,damage
degradation,process
degradation,reduction
ethical concept,concept
Trust,trust
trust,contract
Trust,legal person
legal person,agent
trust,business
demon,spirit
spirit,mythical character
spirit,abstract being
spirit,supernatural being
demon,fallen angel
fallen angel,angel in Judaism
fallen angel,angel in Islam
fallen angel,angels in Christianity
demon,mythical character
mythical character,character that may or may not be fictional
mythical character,mythical entity
mythical character,imaginary character
penguin,flightless bird
flightless bird,birds
demon,fiend
fiend,monster
demon,demon in a work of fiction
demon in a work of fiction,sprite in a work of fiction
demon,monster
speculative/fantastic fiction,fiction
fantasy,imagination
imagination,mental process
fantasy,psychological phenomenon
psychological phenomenon,phenomenon
psychological phenomenon,occurrence
European Film Award for Best Cinematographer,award for best professional (...)
healing,health care
health care,care
health care,service
fairy tale,fairy tale
fairy tale,mirabilia
fairy tale,tale
fairy tale,allegorical story
war victim,victim
victim,person
war victim,wounded in action
wounded in action,wound
wounded in action,casualty
falling in love,human bonding
male homosexuality,homosexuality
homosexuality,non-heterosexuality
homosexuality,monosexuality
homosexuality,same-sex relationship
male homosexuality,androphilia
androphilia,sexual preference
androphilia,androphilia and gynephilia
male homosexuality,human male sexuality
human male sexuality,human sexuality
male homosexuality,gay man
male homosexuality,Achillean
Achillean,androphilia
Achillean,sexual identity
Achillean,human male sexuality
Vernon,Vimy
Vimy,bomber
Vimy,land-based aircraft
Vernon,airlifter
airlifter,military aircraft
airlifter,transport aircraft
Vernon,land-based aircraft
land-based aircraft,aircraft
Annie Award,film award
wedding,ceremony
ceremony,event
ceremony,key event
mirabilia,speculative/fantastic fiction
tale,fiction
tale,narration
allegorical story,narrative
nature documentary,documentary film
nature documentary,television documentary
television documentary,documentary
television documentary,factual television
actor,person
actor,criterion
criterion,value
criterion,requirement
criterion,quality
actor,institution
Satellite Award for Best Original Screenplay,award for best original screenplay
actor,participant
participant,object
participant,role
pornography,creative work
creative work,intellectual work
pornography,erotic product
erotic product,adult product
punk rock,rock music
rock music,popular music
punk rock,punk music
punk music,popular music
actor,performing artist
actor,creative and performing artist
creative and performing artist,"legal, social and cultural professionals"
descent,motion
motion,motion
motion,deformation
human sexuality,sexuality
sexuality,behavior
infection,physiological condition
physiological condition,state
infection,adverse event
adverse event,disease
adverse event,symptom
adverse event,clinical sign
infection,risk source
infection,case
case,occurrence
acting,impersonation
impersonation,intentional human activity
silent film,film
connectedness,property
descent,road
road,thoroughfare
road,"long, thin object"
Greenpoint,cocktail
acting,interim
interim,condition
contamination,problem
problem,condition
contamination,process
process,change
process,series
process,occurrent
contamination,presence
presence,condition
descent,descent
descent,reduction
reduction,change
descent,quality
descent,lineage
lineage,lineage
golf,Olympic sport
golf,ball game
golf,Q31085894
Q31085894,game
music,sound
sound,longitudinal wave
sound,acoustic wave
music,musical work
musical work,work of art
Fantasia,equestrianism
equestrianism,transport
equestrianism,job
equestrianism,Olympic sport
equestrianism,movement
equestrianism,riding
visualization,human-readable medium
human-readable medium,data
visualization,technique
technique,method
technique,means
visualization,creative work
visualization,visual depiction
visual depiction,depiction
comedy of error,comedy
slapstick,comedy film
slapstick,physical comedy
physical comedy,comedy
music,humanities
humanities,knowledge
political satire,satire
antisemitism,ideology
antisemitism,racism
antisemitism,bigotry
bigotry,belief
nationalism,political ideology
populism,ideology
music,entertainment
entertainment,activity
music,performing arts
music,time-based art
time-based art,visual arts
Animus,fictional device
fictional device,fictional object
mind control,control
control,social behavior
creativity,mental process
mental process,function
mental process,process
mental process,psychological process
risk management,cultural property
cultural property,cultural heritage
cultural property,concrete object
shark,fictional shark
fictional shark,fictional fish
shark,monster
shark,beast
murder,homicide
murder,crime against life
crime against life,violation of law
animal attack,aggression
animal attack,attack
attack,violence
attack,action
animal attack,cause of death
animal attack,animal behaviour
animal behaviour,behavior
animal behaviour,multicellular organismal process
murder,crime
murder,violence
adoption,procedure
social class,social stratification
social stratification,demographics
social class,social group
risk management,quality management
quality management,management
risk management,specialty
risk management,function
function,division of labour
function,function
risk management,management
management,control
management,coordination
risk management,engineering management
engineering management,engineering
engineering management,management
risk management,control
control,aptitude
control,activity
control,asymmetric relation
control,process
control,role
murder,Q1422916
Q1422916,violation of law
murder,official offense
official offense,delict
murder,Q106653603
Q106653603,crime
Carrie,mango
mango,drupe
mango,fruit
werewolf film,monster film
werewolf film,werewolf fiction
werewolf fiction,horror fiction
werewolf fiction,monster fiction
Catholicism,Christianity
shark,fish
fish,marine life
fish,aquatic animal
shark,fish as food
fish as food,seafood
dream,cookie
cookie,pastry
cookie,dish
cookie,bánh
cookie,confection
cookie,shelf-stable food
cookie,"biscuits, biscuits, crackers"
concert tour,concert
concert,musical performance
concert,public event
concert,music event
concert tour,roadshow
roadshow,field of work
roadshow,series
roadshow,performing arts production
concert tour,musical production
musical production,performing arts production
war correspondent,correspondent
correspondent,writer
correspondent,reporter
Genesis,tournament
Cat People,fictional humanoid
fictional humanoid,fictional creature
fictional humanoid,fictional organism
Diva,apple
mockumentary,documentary film
mockumentary,parody film
Genesis,digital movie camera
digital movie camera,Tapeless camcorder
music industry,creative industries
creative industries,industrial sector
creative industries,industry
dream,mental process
dream,incident
incident,occurrence
puberty,development of the human body
escape,behavior
escape,intentional human activity
Vulcan,heavy-lift launch vehicle
heavy-lift launch vehicle,launch vehicle
escape,activity
escape,departure
departure,motion
departure,beginning
departure,occurrence
ghost,undead
undead,undead in a work of fiction
undead,monster
ghost,ghost in a work of fiction
ghost,monster
Vulcan,fictional humanoid extraterrestrial
fictional humanoid extraterrestrial,fictional humanoid
fictional humanoid extraterrestrial,fictional extraterrestrial
ghost,spirit
undead,liminal being
undead,supernatural being
ghost,supernatural being
supernatural being,hypothetical entity
supernatural being,character that may or may not be fictional
lesbian,female human
lesbian,homosexual
homosexual,LGBT
angst,mental state
mental state,occurrence
mental state,state
courtship,role
role,role
courtship,procession
procession,collective human activity
courtship,social behavior
social behavior,animal behaviour
social behavior,biological process involved in intraspecies interaction between organisms
urbanity,property
Volpi Cup,film award
literature,humanities
MTV Movie & TV Awards,film award
libido,wish
wish,desire
Thirteen Colonies,administrative territorial entity
Thirteen Colonies,political territorial entity
Thirteen Colonies,human-geographic territorial entity
human-geographic territorial entity,territory
human-geographic territorial entity,artificial geographic entity
Thirteen Colonies,former administrative territorial entity
former administrative territorial entity,administrative territorial entity
former administrative territorial entity,historical administrative division
former administrative territorial entity,historical geographic location
former administrative territorial entity,former geographical object
time loop,time travel
ethical dilemma,dilemma
dilemma,rhetorical device
Gothic romance film,romance film
Gothic romance film,gothic film
gothic film,speculative/fantastic fiction film
gothic film,Gothic fiction
gender role,role
sexual repression,oppression
vampire,undead
vampire,vampire in a work of fiction
vampire in a work of fiction,undead in a work of fiction
vampire,monster
political campaign,organization
political campaign,activity
political campaign,campaign
campaign,occurrence
calligraphy,writing
writing,communication
writing,communication source
calligraphy,two-dimensional visual artwork
two-dimensional visual artwork,visual artwork
Christmas,celebration
celebration,ritual
celebration,party
vampire,mythical creature
mythical creature,mythical character
vampire,supernatural being
art,recreation
set,collective entity
abortion,miscarriage
miscarriage,pregnancy with abortive outcome
miscarriage,reproductive system symptom
abortion,reproductive system symptom
reproductive system symptom,symptom
greed,desire
symphorophilia,paraphilia
paraphilia,psychosexual disorder
paraphilia,sexual and gender disorder
paraphilia,particular disease
Hong Kong Film Award for Best Action Choreography,award for best choreography
award for best choreography,film award category
award for best choreography,theatre award category
moral conversion,emotional process
emotional process,mental process
emotional process,experience
rockumentary,documentary film
necrophilia,paraphilia
transhumanism,futures studies
futures studies,research
transhumanism,secular humanism
secular humanism,humanism
kung fu film,martial arts film
Buenos Aires,destroyer
destroyer,warship
altruistic suicide,suicide
altruistic suicide,altruism
altruistic suicide,sacrifice
sacrifice,strategy
sacrifice,intentional human activity
sacrifice,loss
obsession,thought disorder
guilt,responsibility
individual and society,dichotomy
dichotomy,partition of a set
applied science,science
human body,body
body,anatomical structure
body,Q109583659
human body,body of vertebrate
body of vertebrate,body
abortion,feticide
feticide,killing
feticide,action
abortion,medical procedure
abortion,pregnancy with abortive outcome
pregnancy with abortive outcome,death
pregnancy with abortive outcome,complications of pregnancy
pregnancy with abortive outcome,pregnancy outcome
sham marriage,marriage of convenience
marriage of convenience,marriage
ambition,attitude
attitude,disposition
attitude,opinion
parenting,behavior
political repression,persecution
Satellite Award for Best Foreign Language Film,award for best film for original language
serial murder,murder
serial murder,series
series,group
Los Angeles Film Critics Association Award for Best Foreign Language Film,award for best film for original language
parental death,death of a close person
death of a close person,case of death
musician,artist
artist,creator
musician,agent
Mother,energy drink
energy drink,soft drink
energy drink,sports & energy drink
MTV Movie Award for Best Performance,award for best performance
Amazonas,communications satellite
communications satellite,artificial satellite
snake,cellular automaton pattern
cellular automaton pattern,pattern
snake,fictional snake
fictional snake,fictional reptile
snake,monster
snake,beast
Ottawa,Ojibwe
Ojibwe,Central Algonquian
Air Force One,Air transports of heads of state and government
Air transports of heads of state and government,aircraft
Air transports of heads of state and government,official state vehicle
first contact,meeting
meeting,interaction
reminiscence,social process
reminiscence,intellectual activity
intellectual activity,human activity
snake,serpent
serpent,mythical character
Beverly Hills,table apple
belief,mental state
autobiographical memory,explicit memory
explicit memory,long-term memory
aircraft hijacking,hijacking
aircraft hijacking,aviation incident
aviation incident,incident
aviation incident,aviation accident or incident
aircraft hijacking,terrorism tactic
terrorism tactic,tactic
dignity,quality
Neptune,outboard motor
outboard motor,product
outboard motor,marine propulsion
Neptune,two-stroke petrol engine
two-stroke petrol engine,two-stroke engine
two-stroke petrol engine,gasoline engine
The Game,mind game
mind game,game
mind game,intellectual competition
mafia,criminal organization
unemployment,state
state,phenomenon
state,property
state,state
wormhole,hypothetical scientific object
hypothetical scientific object,hypothetical entity
hypothetical scientific object,scientific object
Hercules,Lockheed C-130 Hercules
Lockheed C-130 Hercules,land-based airlifter monoplane
concealment,intentional human activity
hero,human who may be fictional
human who may be fictional,human
human who may be fictional,person
human who may be fictional,character that may or may not be fictional
Hercules,microcontroller
microcontroller,integrated circuit
microcontroller,processor
hero,fictional character
fictional character,fictional entity
fictional character,character that may or may not be fictional
fictional character,imaginary character
Metro,newspaper
newspaper,goods
newspaper,organization
newspaper,periodical
newspaper,news media
newspaper,business
newspaper,written news media
newspaper,set
class reunion,reunion
reunion,meeting
Mars,chocolate bar
chocolate bar,sweetmeat
chocolate bar,confection
chocolate bar,candy bar
chocolate bar,chocolate-based food
Memory of the World in Germany,UNESCO World Heritage Site
UNESCO World Heritage Site,cultural heritage
UNESCO World Heritage Site,natural heritage
consequence,proposition
proposition,mathematical object
proposition,declarative sentence
modernity,classification of societies
classification of societies,society
Bambi,protein-coding gene
intergenerational conflict,conflict
intergenerational conflict,generation gap
generation gap,intergenerationality
working class,social class
working class,high risk group
high risk group,cluster
propaganda film,propaganda
propaganda,communication
propaganda,psychological manipulation
propaganda,information campaign
propaganda film,film
working conditions,condition
dehumanization,social phenomenon
biological life cycle,life cycle
life cycle,cyclic process
revolution,conflict
revolution,social change
social change,development
revolution,regime change
regime change,event
regime change,end cause
regime change,replacement
Z movie,low-budget film
Z movie,trash
trash,art
cult film,film
cult film,status
male prostitution,prostitution
terminal illness,agony
agony,dying
terminal illness,chronic critical illness
chronic critical illness,catastrophic illness
chronic critical illness,critical illness
child abuse,domestic violence
child abuse,abuse
child abuse,adverse childhood experiences
adverse childhood experiences,experience
dying,biological process
biological process,process
biological process,natural process
biological process,biological phenomenon
misdemeanor,violation of law
rurality,property
misdemeanor,crime
culture of New York City,culture of the United States
non-heterosexuality,LGBT
non-heterosexuality,human sexuality
monosexuality,allosexuality
same-sex relationship,interpersonal relationship
same-sex relationship,intimate relationship
exploitation fiction,fiction
Panama,sheep
Friday the 13th,Friday
Friday the 13th,13th
13th,calendar date
Friday the 13th,point in time with respect to recurrent timeframe
point in time with respect to recurrent timeframe,occurrence
Victorian morality,morality
missing person,human
missing person,disappearance
disappearance,occurrence
disappearance,action
disappearance,incident
missing person,crime victim
crime victim,victim
divorce,detachment
detachment,social process
detachment,psychological process
divorce,separation
separation,process
divorce,dissolution
divorce,end cause
end cause,cause
divorce,breakup
breakup,relationship termination
Gremlins,fictional creature
fictional creature,fictional character
fictional creature,fictional entity
Gremlins,horror film character
horror film character,film character
Toto,Dhimal
Dhimal,Sino-Tibetan
nostalgia,feeling
Labyrinth,toy
toy,physical object
toy,product
toy,recreative work
toy,recreational equipment
rural America,rural area
rural area,geographic region
rural area,human settlement
rural area,geographic location
Heimat,homeland
animal husbandry,animal science
animal science,biology
animal science,agronomy
animal husbandry,agricultural production
agricultural production,production
animal husbandry,"agricultural, veterinary and food sciences"
"agricultural, veterinary and food sciences",science
travel,motion
travel,intentional human activity
Krugerrand,bullion coin
arms trafficking,black market
black market,market
arms trafficking,arms trade
arms trade,sale
arms trade,trade
autism,autism spectrum disorder
autism spectrum disorder,pervasive developmental disorder
autism spectrum disorder,particular disease
autism,particular disease
deaf culture,culture
coping,architectural element
architectural element,intermediate good
architectural element,building component
Japan Academy Prize for Screenplay of the Year,award for best screenplay
coping,behavior
coping,problem solving
problem solving,thinking
problem solving,intellectual activity
problem solving,mathematisation
social isolation,risk factor
social isolation,human behavior
social isolation,solitude
solitude,isolation
misfortune,occurrence
Great Expectations,table apple
pornography industry,sex work
pornography industry,film industry
misfortune,luck
luck,quality
escapism,recreation
Incognito,unknown
unknown,entity
transgender youth,child
child,human
child,juvenile
transgender youth,transgender
transgender,gender minority
transgender,gender modality
transgender,LGBT+ identity
Golden Pyramid Award,award for best film
deviance,behavior
time,point in time
point in time,point
randomness,uncertainty
uncertainty,mental state
uncertainty,risk source
dystopia,fictional government
fictional government,fictional organization
Las Vegas Film Critics Society Award for Best Song,award for best song
award for best song,music award
award for best song,award for best work
hazard,external risk
hazard,risk source
military science fiction,science fiction
military science fiction,military fiction
military fiction,fiction
hypothetical thinking,thinking
time,measurable set
measurable set,set
time,series
psychedelic experience,altered state of consciousness
altered state of consciousness,state of consciousness
war journalism,journalism
reality television,television program
Armageddon,sudden death
sudden death,competition
sudden death,tiebreaker
Armageddon,fast chess
fast chess,chess
fast chess,fast game
climbing,rose
rose,flowering plant
recreational drug use,use
use,intentional human activity
use,property
recreational drug use,drug use
drug use,use
climbing,recreational sport
recreational sport,sport
recreational sport,recreation
climbing,outdoor recreation
outdoor recreation,recreation
autobiography,biography
biography,study of history
biography,biographical work
biography,non-fiction work
autobiography,personal narrative
personal narrative,narrative
remake,derivative work
derivative work,work
remake,creative work
remake,remake
Calvados,Zigarrenbrand
Zigarrenbrand,liquor
Calvados,Eau-de-vie
Eau-de-vie,liquor
exchange,exchange of goods
exchange of goods,gift exchange
pi,quadruple reed instrument
quadruple reed instrument,reed aerophone
exchange,market
market,economy
exchange,organization
exchange,tactic
tactic,tactic
Torah,revelation
revelation,divination
revelation,activity
revelation,disclosure
Torah,literary work
literary work,work of art
literary work,written work
Hollywood,graphics processing unit
graphics processing unit,coprocessor
graphics processing unit,vector processor
Adolf Hitler in popular culture,cultural depiction
cultural depiction,depiction
curse,incantation
incantation,magic
incantation,spell
curse,Maleficium
Maleficium,magic
Topaz,television set
television set,electronic machine
tokusatsu,speculative/fantastic fiction film
fraud,violation of law
Sleeping Beauty,cooking apple
Topaz,apple
Topaz,table apple
insult,offense
offense,human activity
fraud,cheating
cheating,wrongdoing
fraud,crime
fraud,deception
Charlotte's Web,light cannabis
light cannabis,Cannabis
child labour,employment
employment,economic activity
child labour,work
child labour,laborer
laborer,employee
laborer,blue-collar worker
child labour,workforce
workforce,group of humans
Popeye,air-to-surface missile
air-to-surface missile,anti-surface missile
air-to-surface missile,air-launched missile
Hampshire,sheep
The Jerk,novelty dance
novelty dance,dance
novelty dance,fad
country music,popular music
country music,music of North America
music of North America,music of the Americas
disability,property
body horror film,horror film
body horror film,body horror
body horror,horror fiction
teenager,human
Golden Raspberry Award for Worst Musical Score,award for worst (...)
Thra,protein-coding gene
Class,ancient Greek vase-form
ancient Greek vase-form,shape of ancient vases
Rambo,apple
genetically modified mouse,GMO
GMO,mutant
GMO,organism form
genetically modified mouse,genetically modified mammal
genetically modified mammal,mammal
genetically modified mammal,genetically modified animal
human impact on the environment,anthropogenic hazard
anthropogenic hazard,hazard
human impact on the environment,external risk
external risk,risk
human impact on the environment,environmental change
environmental change,change
cultural clash,conflict
Vietnam veteran,veteran
veteran,military personnel
veteran,group of humans
conspiracy,crime
conspiracy,alliance
alliance,organization
conspiracy,occurrence
conspiracy,secrecy
cruelty to animals,assault
assault,attack
assault,violent crime
Golden Raspberry Award for Worst Visual Effects,award for worst (...)
runaway train,railway accident
railway accident,traffic collision
railway accident,train wreck
railway accident,railway incident
Splash,yal
veteran,veteran
veteran,Roman legionary
Roman legionary,legionary
Roman legionary,infantryman
Roman legionary,roman soldier
Ascot,table apple
Ascot,option
option,derivative
dark fantasy,fantasy
coming to terms with the past,coping
war trauma,psychological trauma
psychological trauma,psychological stress
psychological trauma,psychological phenomenon
war trauma,effects of war
effects of war,effect
police,law enforcement agency
law enforcement agency,government agency
police,occupation
occupation,social position
liberty,administrative territorial entity
Swing Kids,youth subculture
youth subculture,subculture
youth subculture,youth culture
liberty,aptitude
marriage,intimate relationship
intimate relationship,interpersonal relationship
Soldier,video game character
Soldier,fictional soldier
fictional soldier,fictional character
Satellite Award for Best Costume Design,award for best costume design
award for best costume design,film award category
Satellite Award for Best Original Score,award for best original music
award for best original music,film award category
award for best original music,award for best album
DreamWorks Animation feature films,animated feature film
animated feature film,feature film
animated feature film,animated film
Bogey Awards,film award
Satellite Award for Best Art Direction and Production Design,award for best production design
Italian Fascism,fascism
Blade,fictional humanoid
Rush Hour,product model
product model,intangible good
product model,work
product model,type of manufactured good
product model,design
Anticonformity,anticonformism
anticonformism,behavior
anticonformism,attitude
Sparks,alcoholic beverage
alcoholic beverage,drug
alcoholic beverage,drink
Sparks,energy drink
Cube,autopilot
autopilot,aircraft flight control system
autopilot,automatic control
autopilot,aircraft component
The Siege,work
work,product
English Renaissance theatre,dramatic theatre
decipherment,process
decipherment,discovery
discovery,intentional human activity
discovery,occurrence
discovery,finding
existential risk,extreme risk
existential risk,hypothetical event
hypothetical event,occurrence
hypothetical event,hypothetical entity
artistic inspiration,psychological phenomenon
apostasy,renunciation
renunciation,intentional human activity
renunciation,end
renunciation,rejection
Elizabeth,domestic duck
domestic duck,mallard
domestic duck,duck
artistic creation,intentional human activity
artistic creation,animal behaviour
artistic creation,creation
creation,activity
creation,planned process
artistic creation,"creative, artistic and performing activities"
